merchant_id,name,category,region,commission_rate,establishment_date
M00139,VitalShop 139,Health,Normandie,0.029,20180111
M00140,TrendyWear 140,Clothing,Nouvelle-Aquitaine,0.0711,20171119
M00141,FoodMart 141,Food,Auvergne-Rhône-Alpes,0.049,20181207
M00142,KidsWorld 142,Toys,Bretagne,0.0683,20230219
M00143,MotorHub 143,Automotive,Nouvelle-Aquitaine,0.0529,20210204
M00144,HealthHub 144,Health,Occitanie,0.0224,20201221
M00145,FoodHub 145,Food,Occitanie,0.0648,20210110
M00146,SportZone 146,Sports,Nouvelle-Aquitaine,0.0329,20230414
M00147,ReadMore 147,Books,Nouvelle-Aquitaine,0.0843,20220404
M00148,BeautyWorld 148,Beauty,Auvergne-Rhône-Alpes,0.0172,20200205
M00149,DigitalHub 149,Electronics,Normandie,0.0608,20221202
M00150,PlayShop 150,Toys,Hauts-de-France,0.0238,20220515
M00151,DecorShop 151,Home & Garden,Ile-de-France,0.0183,20170419
M00152,GlowShop 152,Beauty,Bretagne,0.0774,20170316
M00153,LibraryShop 153,Books,Provence-Alpes-Côte d'Azur,0.0376,20201003
M00154,WellnessStore 154,Health,Provence-Alpes-Côte d'Azur,0.0522,20200812
M00155,FashionStore 155,Clothing,Occitanie,0.0864,20190904
M00156,KidsWorld 156,Toys,Auvergne-Rhône-Alpes,0.0266,20220626
M00157,TrendyWear 157,Clothing,Hauts-de-France,0.0535,20220505
M00158,ElectroWorld 158,Electronics,Nouvelle-Aquitaine,0.0131,20190615
M00159,WellnessStore 159,Health,Auvergne-Rhône-Alpes,0.0569,20200421
M00160,AutoCenter 160,Automotive,Ile-de-France,0.0642,20230706
M00161,CosmeticHub 161,Beauty,Ile-de-France,0.0432,20221213
M00162,TrendyWear 162,Clothing,Ile-de-France,0.0465,20230322
M00163,LibraryShop 163,Books,Nouvelle-Aquitaine,0.0105,20210831
M00164,TrendyWear 164,Clothing,Provence-Alpes-Côte d'Azur,0.0252,20191212
M00165,MotorHub 165,Automotive,Auvergne-Rhône-Alpes,0.0943,20171213
M00166,TechStore 166,Electronics,Ile-de-France,0.0503,20230423
M00167,GadgetShop 167,Electronics,Pays de la Loire,0.0564,20220328
M00168,TechStore 168,Electronics,Ile-de-France,0.0182,20220527
M00169,BookHaven 169,Books,Ile-de-France,0.0656,20190419
M00170,ElectroWorld 170,Electronics,Ile-de-France,0.0731,20191129
M00171,CosmeticHub 171,Beauty,Grand Est,0.0625,20230221
M00172,FashionStore 172,Clothing,Hauts-de-France,0.0305,20170807
M00173,PlayShop 173,Toys,Auvergne-Rhône-Alpes,0.0114,20171225
M00174,KidsWorld 174,Toys,Grand Est,0.0261,20211212
M00175,ClothingHub 175,Clothing,Auvergne-Rhône-Alpes,0.0781,20230410
M00176,ToyHub 176,Toys,Occitanie,0.0117,20181123
M00177,BookCorner 177,Books,Pays de la Loire,0.0801,20230511
M00178,WellnessStore 178,Health,Ile-de-France,0.0595,20200813
M00179,FoodMart 179,Food,Ile-de-France,0.0728,20210404
M00180,ToyHub 180,Toys,Bretagne,0.0175,20220930
M00181,SportZone 181,Sports,Auvergne-Rhône-Alpes,1.5,20191031
M00182,StyleShop 182,Clothing,Grand Est,0.061,20230619
M00183,CarParts 183,Automotive,Nouvelle-Aquitaine,0.0763,20170427
M00184,HealthShop 184,Health,Grand Est,0.0775,20190921
M00185,GourmetShop 185,Food,Ile-de-France,0.0104,20180409
M00186,GlowShop 186,Beauty,Nouvelle-Aquitaine,0.0327,20180828
M00187,HealthHub 187,Health,Nouvelle-Aquitaine,0.0663,20180909
M00188,HealthShop 188,Health,Auvergne-Rhône-Alpes,0.0392,20180130
M00189,ReadMore 189,Books,Occitanie,0.05,20200127
M00190,MotorHub 190,Automotive,Provence-Alpes-Côte d'Azur,0.0469,20220101
M00191,MotorHub 191,Automotive,Ile-de-France,0.0593,20181120
M00192,ClothingHub 192,Clothing,Provence-Alpes-Côte d'Azur,0.0784,20200421
M00193,ToyLand 193,Toys,Ile-de-France,0.0191,20200825
M00194,ToyLand 194,Toys,Grand Est,0.0455,20201005
M00195,SportHub 195,Sports,Hauts-de-France,0.044,20230202
M00196,MotorHub 196,Automotive,Auvergne-Rhône-Alpes,0.0558,20220127
M00197,TechStore 197,Electronics,Ile-de-France,0.0487,20200515
M00198,ActiveWear 198,Sports,Bretagne,0.0673,20211228
M00199,GadgetShop 199,Electronics,Pays de la Loire,0.0562,20170529
M00200,GlowShop 200,Beauty,Auvergne-Rhône-Alpes,0.0722,20210823
M00201,GlowShop 201,Beauty,Nouvelle-Aquitaine,0.0991,20220904
M00202,ToyLand 202,Toys,Nouvelle-Aquitaine,0.0486,20170225
M00203,SportHub 203,Sports,Hauts-de-France,0.044,20190927
M00204,DigitalHub 204,Electronics,Auvergne-Rhône-Alpes,0.0541,20190826
M00205,PlayShop 205,Toys,Occitanie,0.0271,20181007
M00206,DigitalHub 206,Electronics,Ile-de-France,0.0458,20180220
M00207,HealthHub 207,Health,Bretagne,0.0664,20221015
M00208,ToyLand 208,Toys,Auvergne-Rhône-Alpes,0.0103,20200808
M00209,BookHaven 209,Books,Occitanie,0.0472,20180910
M00210,BookCorner 210,Books,Pays de la Loire,0.0407,20230322
M00211,FoodMart 211,Food,Nouvelle-Aquitaine,0.0234,20171221
M00212,HealthShop 212,Health,Pays de la Loire,2.0,20230306
M00213,FoodMart 213,Food,Grand Est,0.0481,20170326
M00214,ReadMore 214,Books,Ile-de-France,0.0528,20220802
M00215,LibraryShop 215,Books,Auvergne-Rhône-Alpes,0.0676,20210728
M00216,AutoShop 216,Automotive,Ile-de-France,0.0956,20211006
M00217,TechStore 217,Electronics,Auvergne-Rhône-Alpes,0.0821,20200613
M00218,BookCorner 218,Books,Normandie,0.0168,20210203
M00219,BookHaven 219,Books,Nouvelle-Aquitaine,-0.01,20200731
M00220,SportHub 220,Sports,Provence-Alpes-Côte d'Azur,0.0644,20190817
M00221,GourmetShop 221,Food,Ile-de-France,0.0649,20191103
M00222,BeautyCorner 222,Beauty,Nouvelle-Aquitaine,0.0867,20200403
M00223,AutoShop 223,Automotive,Ile-de-France,0.0833,20211215
M00224,MotorHub 224,Automotive,Ile-de-France,0.0646,20200629
M00225,TechStore 225,Electronics,Grand Est,0.0755,20201014
M00226,BookHaven 226,Books,Grand Est,0.0651,20210721
M00227,FitnessShop 227,Sports,Bretagne,0.0882,20180313
M00228,PlayShop 228,Toys,Nouvelle-Aquitaine,0.044,20230722
M00229,GadgetShop 229,Electronics,Provence-Alpes-Côte d'Azur,0.0813,20210502
M00230,HealthShop 230,Health,Nouvelle-Aquitaine,0.014,20210115
M00231,GadgetShop 231,Electronics,Bretagne,0.0814,20230123
M00232,BookHaven 232,Books,Auvergne-Rhône-Alpes,0.037,20211104
M00233,CarParts 233,Automotive,Auvergne-Rhône-Alpes,0.017,20190425
M00234,FoodMart 234,Food,Normandie,0.0965,20210212
M00235,BeautyCorner 235,Beauty,Grand Est,0.0583,20180227
M00236,SportZone 236,Sports,Ile-de-France,0.0887,20200330
M00237,TrendyWear 237,Clothing,Normandie,0.0815,20171001
M00238,ReadMore 238,Books,Ile-de-France,0.0973,20170531
M00239,BeautyWorld 239,Beauty,Nouvelle-Aquitaine,0.0434,20200321
M00240,WellnessStore 240,Health,Nouvelle-Aquitaine,0.0235,20170729
M00241,CosmeticHub 241,Beauty,Provence-Alpes-Côte d'Azur,0.0162,20210615
M00242,FitnessShop 242,Sports,Occitanie,0.0672,20220512
M00243,GadgetShop 243,Electronics,Pays de la Loire,0.0487,20180123
M00244,AutoCenter 244,Automotive,Grand Est,0.0285,20221116
M00245,FreshMarket 245,Food,Normandie,0.0274,20170508
M00246,KidsWorld 246,Toys,Nouvelle-Aquitaine,0.0167,20210112
M00247,GadgetShop 247,Electronics,Grand Est,0.0349,20230622
M00248,ClothingHub 248,Clothing,Auvergne-Rhône-Alpes,0.0373,20201025
M00249,BeautyWorld 249,Beauty,Ile-de-France,0.0303,20230205
M00250,GlowShop 250,Beauty,Ile-de-France,0.0275,20180718
M00251,CarParts 251,Automotive,Auvergne-Rhône-Alpes,0.0682,20210518
M00252,DecorShop 252,Home & Garden,Provence-Alpes-Côte d'Azur,0.0944,20190208
M00253,HealthShop 253,Health,Grand Est,0.0358,20180709
M00254,BeautyWorld 254,Beauty,Nouvelle-Aquitaine,0.0942,20230325
M00255,AutoCenter 255,Automotive,Normandie,0.0237,20170520
M00256,VitalShop 256,Health,Auvergne-Rhône-Alpes,0.0211,20180228
M00257,KidsWorld 257,Toys,Auvergne-Rhône-Alpes,0.0369,20220516
M00258,DigitalHub 258,Electronics,Provence-Alpes-Côte d'Azur,0.0181,20200407
M00259,ClothingHub 259,Clothing,Ile-de-France,0.0986,20230122
M00260,TrendyWear 260,Clothing,Ile-de-France,0.0549,20200728
M00261,BeautyCorner 261,Beauty,Hauts-de-France,0.0654,20201001
M00262,GadgetShop 262,Electronics,Provence-Alpes-Côte d'Azur,0.0943,20230617
M00263,VitalShop 263,Health,Grand Est,0.0408,20170913
M00264,DecorShop 264,Home & Garden,Normandie,0.0599,20230128
M00265,GlowShop 265,Beauty,Hauts-de-France,0.0787,20210707
M00266,ElectroWorld 266,Electronics,Normandie,0.0147,20220323
M00267,SportZone 267,Sports,Ile-de-France,0.0694,20220420
M00268,KidsWorld 268,Toys,Bretagne,0.0338,20201228
M00269,FashionStore 269,Clothing,Grand Est,0.035,20190713
M00270,FashionStore 270,Clothing,Ile-de-France,0.0766,20170206
M00271,BeautyCorner 271,Beauty,Ile-de-France,0.0912,20201209
M00272,FoodHub 272,Food,Ile-de-France,0.0776,20200520
M00273,AutoCenter 273,Automotive,Hauts-de-France,1.25,20211122
M00274,PlayShop 274,Toys,Normandie,0.0647,20210216
M00275,FitnessShop 275,Sports,Provence-Alpes-Côte d'Azur,0.0981,20191209
M00276,StyleShop 276,Clothing,Ile-de-France,0.0275,20230303
M00277,AutoShop 277,Automotive,Occitanie,0.0299,20171121
M00278,StyleShop 278,Clothing,Occitanie,0.0509,20210723
M00279,MotorHub 279,Automotive,Grand Est,0.0348,20180111
M00280,HealthHub 280,Health,Provence-Alpes-Côte d'Azur,0.09,20171003
M00281,BeautyCorner 281,Beauty,Nouvelle-Aquitaine,0.0208,20200711
M00282,CarParts 282,Automotive,Occitanie,0.0217,20170814
M00283,HomeCenter 283,Home & Garden,Auvergne-Rhône-Alpes,0.0706,20190715
M00284,GadgetShop 284,Electronics,Hauts-de-France,0.0346,20181129
M00285,HealthHub 285,Health,Bretagne,0.0776,20220227
M00286,BookCorner 286,Books,Pays de la Loire,0.0458,20191226
M00287,GourmetShop 287,Food,Hauts-de-France,0.0463,20180116
M00288,BeautyWorld 288,Beauty,Ile-de-France,0.0149,20230410
M00289,DigitalHub 289,Electronics,Grand Est,0.0117,20200708
M00290,HealthShop 290,Health,Hauts-de-France,0.0197,20170314
M00291,TechStore 291,Electronics,Occitanie,0.0973,20181001
M00292,GadgetShop 292,Electronics,Ile-de-France,0.0133,20220130
M00293,BeautyCorner 293,Beauty,Grand Est,0.0725,20220113
M00294,ReadMore 294,Books,Pays de la Loire,0.0908,20210626
M00295,AutoCenter 295,Automotive,Nouvelle-Aquitaine,0.0172,20190904
M00296,FoodMart 296,Food,Occitanie,0.0953,20191002
M00297,GadgetShop 297,Electronics,Grand Est,0.0103,20170123
M00298,GadgetShop 298,Electronics,Nouvelle-Aquitaine,0.078,20181114
M00299,ReadMore 299,Books,Ile-de-France,0.0918,20220711
M00300,FoodHub 300,Food,Ile-de-France,0.0998,20170703
M00301,PlayShop 301,Toys,Occitanie,0.0184,20170623
M00302,GourmetShop 302,Food,Ile-de-France,0.0405,20220428
M00303,WellnessStore 303,Health,Provence-Alpes-Côte d'Azur,0.0253,20230723
M00304,SportZone 304,Sports,Auvergne-Rhône-Alpes,0.0155,20190219
M00305,GourmetShop 305,Food,Occitanie,0.0211,20180217
M00306,BeautyWorld 306,Beauty,Pays de la Loire,0.0874,20180709
M00307,SportZone 307,Sports,Bretagne,0.0933,20200411
M00308,PlayShop 308,Toys,Auvergne-Rhône-Alpes,0.059,20201027
M00309,GardenWorld 309,Home & Garden,Nouvelle-Aquitaine,0.097,20210929
M00310,GardenWorld 310,Home & Garden,Occitanie,0.0808,20210605
M00311,CosmeticHub 311,Beauty,Hauts-de-France,0.0276,20200720
M00312,BeautyWorld 312,Beauty,Auvergne-Rhône-Alpes,0.051,20180720
M00313,GourmetShop 313,Food,Auvergne-Rhône-Alpes,0.0988,20191224
M00314,PlayShop 314,Toys,Occitanie,0.0253,20180913
M00315,TechStore 315,Electronics,Occitanie,0.0904,20170302
M00316,FreshMarket 316,Food,Grand Est,0.0124,20180925
M00317,AutoShop 317,Automotive,Ile-de-France,0.0301,20210711
M00318,HealthShop 318,Health,Ile-de-France,0.0154,20210203
M00319,ReadMore 319,Books,Auvergne-Rhône-Alpes,0.0382,20170214
M00320,HealthShop 320,Health,Auvergne-Rhône-Alpes,0.0775,20180308
M00321,FreshMarket 321,Food,Nouvelle-Aquitaine,0.0428,20181231
M00322,ToyLand 322,Toys,Occitanie,0.0842,20220412
M00323,GourmetShop 323,Food,Grand Est,0.0679,20210610
M00324,FoodMart 324,Food,Grand Est,0.0257,20210708
M00325,StyleShop 325,Clothing,Ile-de-France,0.0138,20210703
M00326,FoodHub 326,Food,Hauts-de-France,0.0996,20190524
M00327,FitnessShop 327,Sports,Auvergne-Rhône-Alpes,0.0299,20201001
M00328,HealthHub 328,Health,,0.0874,20210608
M00329,DigitalHub 329,Electronics,Pays de la Loire,0.0772,20190405
M00330,LibraryShop 330,Books,Occitanie,0.089,20170805
M00331,HealthShop 331,Health,Ile-de-France,0.068,20220428
M00332,FreshMarket 332,Food,,0.0429,20190717
M00333,ToyHub 333,Toys,Nouvelle-Aquitaine,0.0635,20230319
M00334,BeautyCorner 334,Beauty,Ile-de-France,0.0195,20230212
M00335,AutoShop 335,Automotive,Nouvelle-Aquitaine,0.0138,20180320
M00336,TechStore 336,Electronics,Nouvelle-Aquitaine,0.0241,20181226
M00337,DecorShop 337,Home & Garden,Nouvelle-Aquitaine,0.0746,20170108
M00338,BookHaven 338,Books,Normandie,0.0641,20221219
M00339,CarParts 339,Automotive,Bretagne,0.036,20220921
M00340,SportZone 340,Sports,Ile-de-France,0.0293,20221206
M00341,BeautyCorner 341,Beauty,Pays de la Loire,0.0437,20170927
M00342,FoodMart 342,Food,Auvergne-Rhône-Alpes,0.0947,20180620
M00343,BeautyCorner 343,Beauty,Occitanie,0.091,20190419
M00344,BeautyCorner 344,Beauty,Nouvelle-Aquitaine,0.036,20220612
M00345,GadgetShop 345,Electronics,Normandie,0.0358,20200602
M00346,ToyHub 346,Toys,Grand Est,0.033,20200321
M00347,VitalShop 347,Health,Pays de la Loire,0.0163,20200107
M00348,GourmetShop 348,Food,Auvergne-Rhône-Alpes,0.0669,20200625
M00349,PlayShop 349,Toys,Auvergne-Rhône-Alpes,0.0996,20170611
M00350,HealthShop 350,Health,Hauts-de-France,0.0452,20190707
M00351,GadgetShop 351,Electronics,Ile-de-France,0.0617,20201026
M00352,HomeStyle 352,Home & Garden,Hauts-de-France,0.0143,20170214
M00353,ToyHub 353,Toys,Auvergne-Rhône-Alpes,0.0558,20190621
M00354,ActiveWear 354,Sports,Hauts-de-France,0.0536,20210512
M00355,LibraryShop 355,Books,Auvergne-Rhône-Alpes,0.0358,20210702
M00356,SportHub 356,Sports,Normandie,0.0514,20170703
M00357,GadgetShop 357,Electronics,Hauts-de-France,0.0837,20210905
M00358,GourmetShop 358,Food,Bretagne,0.0926,20210513
M00359,HealthHub 359,Health,Occitanie,0.0949,20210512
M00360,GardenWorld 360,Home & Garden,Provence-Alpes-Côte d'Azur,0.0592,20210803
M00361,WellnessStore 361,Health,Grand Est,0.0901,20170702
M00362,FitnessShop 362,Sports,Pays de la Loire,0.0131,20181202
M00363,BeautyCorner 363,Beauty,Hauts-de-France,0.0323,20210806
M00364,FitnessShop 364,Sports,Ile-de-France,0.0123,20171229
M00365,FitnessShop 365,Sports,Grand Est,0.0127,20210728
M00366,CosmeticHub 366,Beauty,Pays de la Loire,-0.05,20181116
M00367,DigitalHub 367,Electronics,Bretagne,0.023,20211005
M00368,SportHub 368,Sports,Auvergne-Rhône-Alpes,0.0548,20200703
M00369,FoodMart 369,Food,Provence-Alpes-Côte d'Azur,0.083,20210403
M00370,MotorHub 370,Automotive,Ile-de-France,0.052,20190610
M00371,HealthHub 371,Health,Normandie,0.0446,20211007
M00372,ClothingHub 372,Clothing,Ile-de-France,0.0729,20190501
M00373,VitalShop 373,Health,Ile-de-France,0.0183,20181011
M00374,DecorShop 374,Home & Garden,Auvergne-Rhône-Alpes,0.0678,20200402
M00375,FitnessShop 375,Sports,,0.0416,20211205
M00376,FoodMart 376,Food,Normandie,0.0618,20221219
M00377,ClothingHub 377,Clothing,Ile-de-France,0.0756,20181121
M00378,PlayShop 378,Toys,Bretagne,0.025,20181006
M00379,BookCorner 379,Books,Auvergne-Rhône-Alpes,0.0793,20221126
M00380,FreshMarket 380,Food,Ile-de-France,0.0698,20220626
M00381,FreshMarket 381,Food,Hauts-de-France,0.015,20180905
M00382,AutoShop 382,Automotive,Nouvelle-Aquitaine,0.0389,20201009
M00383,ActiveWear 383,Sports,Ile-de-France,0.0728,20220408
M00384,StyleShop 384,Clothing,Ile-de-France,0.0874,20200829
M00385,ElectroWorld 385,Electronics,Auvergne-Rhône-Alpes,0.0997,20191126
M00386,LibraryShop 386,Books,Nouvelle-Aquitaine,0.0956,20200414
M00387,AutoCenter 387,Automotive,Pays de la Loire,0.0615,20170514
M00388,HomeCenter 388,Home & Garden,Provence-Alpes-Côte d'Azur,0.0926,20200910
M00389,ElectroWorld 389,Electronics,Provence-Alpes-Côte d'Azur,1.25,20200105
M00390,CarParts 390,Automotive,Ile-de-France,-0.01,20170104
M00391,BookHaven 391,Books,Ile-de-France,0.0789,20211022
